id,user_id,recipe_id,rate
2184,21,4,1
2185,21,84,1
2186,21,81,3
2187,21,66,1
2188,21,59,3
2190,21,98,1
2369,21,100,2.39
2370,22,37,1
2371,22,117,5
2372,22,43,2
2373,22,36,2
2376,22,57,1.33
2377,22,107,5
2378,22,71,1
2379,22,72,1
2404,22,91,3.04
2408,23,19,2.75
2409,23,11,3
2411,23,27,3
2412,23,53,1
2415,23,43,4.33
2417,23,39,2
2418,23,102,2
2419,23,76,5
2420,23,20,5
2421,23,9,2
2422,23,42,3
2423,23,115,4
2424,23,54,1
2425,23,97,4
2426,23,67,2
2427,23,55,2
2428,23,64,2
2433,23,56,3.6
2434,23,48,2
2435,23,107,2
2436,23,6,2
2437,23,71,4
2438,23,90,2
2439,23,106,2
2440,23,61,2
2441,23,88,4
2442,23,86,5
2444,23,109,2
2445,23,94,2
2447,23,41,3
2448,23,104,1
2451,23,93,3.33
2525,23,84,2.28
2526,24,65,5
2527,24,75,5
2528,24,40,1
2529,24,27,1
2531,24,36,3.5
2532,24,85,2
2535,24,13,4
2539,24,109,3.25
2562,25,31,3.17
2563,25,22,1
2565,25,39,3
2566,25,57,1
2567,25,97,5
2569,25,13,3
2570,25,90,4
2596,25,106,3.08
2598,26,19,5
2599,26,113,5
2601,26,27,3
2602,26,53,5
2605,26,43,4.33
2606,26,34,5
2607,26,61,3
2608,26,72,5
2609,26,31,4
2610,26,4,4
2632,26,84,4.09
2634,27,19,3
2636,27,10,4
2638,27,26,4
2639,27,110,2
2641,27,82,3
2642,27,113,3
2643,27,40,1
2644,27,27,1
2646,27,83,3.5
2647,27,12,3
2648,27,53,3
2649,27,24,3
2652,27,2,3.33
2653,27,39,3
2654,27,32,4
2655,27,23,1
2656,27,20,3
2658,27,112,3
2660,27,115,2
2662,27,60,3.5
2664,27,54,3.5
2665,27,34,1
2666,27,67,4
2667,27,64,4
2668,27,56,1
2671,27,105,3.33
2672,27,30,5
2673,27,21,4
2674,27,8,2
2676,27,6,3.5
2677,27,72,1
2678,27,88,1
2682,27,63,2.75
2684,27,94,2
2685,27,41,1
2686,27,78,1
2688,27,31,3.5
2689,27,17,1
2691,27,58,4.5
2692,27,44,3
2693,27,104,3
2695,27,4,3
2696,27,84,3
2697,27,81,1
2698,27,66,2
2699,27,59,3
2807,27,98,3.36
2808,28,19,2
2809,28,5,3
2811,28,26,4.5
2813,28,110,2.5
2814,28,40,4
2815,28,37,2
2816,28,27,3
2818,28,2,3.5
2819,28,102,2
2820,28,9,4
2821,28,42,1
2822,28,115,2
2824,28,80,2
2825,28,54,4
2826,28,97,4
2827,28,13,2
2828,28,64,4
2829,28,56,3
2832,28,105,3.33
2833,28,30,3
2834,28,107,5
2835,28,72,2
2838,28,94,3.33
2839,28,17,3
2876,28,49,3.19
2877,29,19,1
2878,29,5,5
2881,29,26,4
2882,29,113,1
2883,29,37,5
2885,29,27,5
2886,29,12,5
2887,29,53,5
2888,29,2,4
2891,29,43,3.67
2893,29,32,3
2894,29,76,4
2895,29,23,3
2896,29,112,1
2897,29,9,1
2898,29,42,5
2899,29,115,1
2901,29,80,4.5
2903,29,54,3
2904,29,97,5
2905,29,13,4
2906,29,55,5
2907,29,64,1
2908,29,56,3
2914,29,105,1.83
2915,29,48,2
2917,29,107,3
2918,29,71,5
2919,29,114,5
2920,29,90,5
2921,29,106,5
2922,29,72,5
2923,29,86,4
2925,29,109,3.5
2927,29,94,3
2928,29,41,5
2929,29,78,2
2931,29,31,4.5
2932,29,4,2
2933,29,84,5
2935,29,49,3
3014,29,100,3.39
3015,30,19,5
3016,30,65,1
3017,30,47,5
3018,30,113,4
3019,30,40,1
3020,30,22,1
3021,30,27,1
3023,30,3,4.5
3024,30,12,5
3026,30,43,3
3027,30,32,5
3028,30,102,5
3029,30,23,4
3030,30,20,5
3031,30,112,5
3032,30,80,1
3033,30,54,4
3034,30,34,5
3037,30,55,4.67
3038,30,107,1
3039,30,71,5
3040,30,90,5
3041,30,106,5
3043,30,91,4.5
3045,30,94,4.5
3046,30,41,1
3049,30,31,2.33
3051,30,17,4.5
3053,30,104,3
3054,30,84,5
3055,30,95,5
3129,30,100,4.18
3130,31,19,5
3131,31,65,4
3133,31,5,4
